"is_char","char_type","next_word","text"
True,"hero","jupiter","under martian sands ... basil wells 24 jud lee found refuge in a lost world a hundred times more deadly tban the red planet ' s vengeance ."
True,"hero","venus","he city of singing cubes ... bryce walton 42 those strange robot music boxes held the key to hell ' s symphony . lchemy john and dorothy de courcy 83 what strange magic transformed"
True,"hero","voice","iously intimate , full of unspoken romises , would have failed to stir im . but within the narrow compass this new world , this world that he ad made for himself , or that the eculiar , inimitable combination of enes that came from his parents , nd from their parents , had made for im , the"
True,"hero","voice","' s clumsy , gloved hands sciously intimate , full of unspo g at the sleeve of his suit . promises , would have failed to was trying to pull him to him . but within the narrow comp e did not shift his gaze of this new world , this world that glittering stars , but he had made for himself , or that oice strange and tinny in peculiar , inimitable combination met phones . genes that came from his pare y from here ,"" he said . and from their parents , had made e urgently : get away him , the"
True,"hero","alan","nd nd she knew , chuck ! too ,"" clerk . "" if i hadn ' t let h dvance copy of charon ' s p st she ' d never ' a ' gone ou as soon as all the pass tallied in but one an ' tha enant"
True,"hero","hand","enant alan latimer . nothin obody could stop her . this latimer half heard as h ed the clumsy armor from th of the girl . the clerk rattle en almost fell over backward ic as latimer rose to his feet ed out with one big"
True,"hero","voice","i couldn ' t believe it , until i sa r hastened to obey . his sprawled on the rocks , waiti monotone as he did so was charon to blast off . "" i ' m afraid it ' s true , laurie ble , irritating . now why she bothered . my dear . i don ' t know w w why he ' s bothering . to be glad or sorry . it woul on ceres . if folks want been nice to have died with y et ' em . there . it can still mean 99 thing to us if we live togethe hat ' s your name ?"" then , reluctantly , "" sir ."" "" we can go outside and op visors of our helmets wh t are you here for ?"" clerk ' s"
True,"hero","alan","i couldn ' t believe it , until i saw you his sprawled on the rocks , waiting for so was charon to blast off "" i ' m afraid it ' s true , laurie hered . "" my dear . i don ' t know whether ering , to be glad or sorry . it would have want een nice to have died with you out there . it can still mean some thing to us if we live together . "" sir ."" "" we can go outside and open the visors of our helmets ,"" whispered sullen . latimer bitterly "" it would be best that way . otherwise , for you , a mura re for . derer . for me . poken """
True,"hero","voice","to die in the blast of charon ' s jets . the"
True,"hero","hand","given bare hands . better men than yo the so . more hen marcus ha gone lau t the anne rose unsteadily to h n the laur feet . she sat in the chair behind t but desk that the little forger had v een a cated . from a pocket in her dre was she produced a mirror and a compa fresh and with a"
True,"hero","hand","tne from the girl ' s"
True,"hero","hand","up at him , her face yearning , at she should be ignored . ast latimer looked down , his ginning to move . if he had given the time to speak , his must inevitably have been d by the trampling of rheavy feet along the corridor out -"
True,"villain","mist","ping line of her figure , with looked dragging steps she walked to - hurt tha the airlock door . at lat where are you going ?"" lips beg what does it matter ? outside been gi timer waited until her hand went words to the controls of the inner door drowned jumped down from his seat . two booted strides almost leaps in the side . hi de gravitational field of ceres - flashed ied him to lauranne . as before longer h hands went out to grasp her fast , he alders , but this time it was to chair be her to him . and the pale , blond so that of the man went down to that as a wea he woman , was enveloped in the the d k"
True,"hero","hand","with looked up at him , her face yearn to --. hurt that she should be ignored . at last latimer looked down , lips beginning to move . if he e ."" been given the time to speak , went words must inevitably have door , drowned by the trampling of hea two booted feet along the corridor the side . his"
True,"hero","hand","f her figure . with looked up at him , her face year teps she walked to hurt that she should be ignored at last latimer looked down door . lips beginning to move . if he u going ?"" matter ? outside . been given the time to speak , until her hand went words must inevitably have ls of the inner door drowned by the trampling of the n from his seat . two booted feet along the corridor most leaps in the side . his"
True,"hero","voice","oy tire alan - for you , grossness , his untidy , slovenly attire he surge of an but was impressed by the aura of flare of rocket very real power that surrounded the s , the ordered boss of ceres . world of grey kimball spat the little chewed metal . for you fragments of wood falling in a fine s is the end of spray around the cuspidor at his feet . last haven of "" so our little friend marcus told you that we were all anarchists ,"" he sneered . hat wither , "" i never said so . latimer ' s"
True,"hero","voice","never said so ."" said"
True,"hero","hand","constable alan latimer stared power w w about him , barely conscious of the him wh light pressure on his arm that was and bad lauranne latimer ' s"
True,"hero","alan","happen ? i ' ve respected warned and psychoed , and dis your past ,"
True,"hero","solar","happen ? i ' ve respected warned and psychoed , and dis your past , alan , just charged as fit for duty . and so i was ected mine . but a until a barroom brawl in port la ays curious , i guess . salle . you know how i always used to no harm to tell you . boast about my skill with side - arms was when i was second about being quick on the draw . there f pathfinder . we were was this fellow in the bar , town mar b , measuring , charting , shal , i think he was . i don ' t know spot of geology , in the what he was like sober , but he was e other side of the sun most unpleasant drunk . perhaps i yell , the charts we had was , too . anyhow , he pulled a gun on ccurate and one day me . and before it cleared his holster selves in one of those i ' d drilled him between the eyes . "" and that was the finish for me ."" ould be almost impos - nest mathematician in auranne said nothing . lati - o duplicate on paper collision orbit with no mer did not look at her face , but a dozen hunks of as he felt the warm waves of sympathy debris , and there was that radiated from her . only one he automatic controls who , like himself , had come to this heir fuses and died sink - hole of the"
True,"hero","voice","ma outside power supplies . yet , as he walked , latimer took most unconscious note of his sur - undings . he was in a part of ceres ange to him . the tunnel walls re devoid of the usual doorways d windows of residential apart . ents . the floor was coated with a e dust . there were the tracks of e of the little scooters to show that mebody had come this way , and cently , but that was the only sign traffic there was . still they walked on , half in a eam , welded to each other by the l of confession . the"
True,"hero","face","felt her grip on his arm , pain earth and mars would see a tight , and he heard her say class nova right in their gardens n , this is philip lane , an old "" you mean . d of mine . philip , this is alan i mean that if anybody tries t ner , my husband . through those doors , or tries t s hand went out , but only to grip through to the vault in any of the other . lane was talking way , up goes the atomic power ly , nervously , fully conscious tion that ' s tucked away in the the air was charged with hos - oh ,"" replied latimer inadeq ly . "" thanks , lane ."" he looked a aven ' t they shown you round watch . "" time we were getting yet ? you ' ll be getting your spell now . i have to be on duty at uard duty soon enough 39 "" a policeman ' s lot is not a h one ,"" riposted the other . "" bt e led them down the tunnel , could be unhappier . eh , laura around a bend . and the tunnel "" i wouldn ' t know she re sealed with a bulkhead of gleam frigidly . "" come , alan ."" teel . in this was set a door , like she felt that the muscles o of some huge safe or treasure arm , beneath the thin shirt , the levers and wheels and tensed . but now she felt that she on its shining"
True,"hero","mars","felt her grip on his arm , pain earth and"
True,"hero","face","felt her grip on his arm , pain earth and tight , and he heard her say class nova r n , this is philip lane , an old "" you mea d of mine . philip , this is alan "" i mean t mer , my husband ."" through tho s hand went out , but only to grip through to of the other . lane was talking way , up go ly , nervously , fully conscious tion that ' s the air was charged with hos "" oh ,"" rep ly . "" thanks aven ' t they shown you round watch . "" tim yet ? you ' ll be getting your spell now . i have "" a police uard duty soon enough . one ripos led them down the tunnel , could be un around a bend . and the tunnel "" i would sealed with a bulkhead of gleam frigidly . "" c steel . in this was set a door , like she felt of some huge safe or treasure arm , benea the levers and wheels and tensed . but on its shining"
True,"hero","alan","n - earth and mars would see a first y class nova right in their gardens ."" id "" you mean . 33 i mean that if anybody tries to ge through those doors , or tries to ge ip through to the vault in any othe ng way , up goes the atomic power sta us tion that ' s tucked away in there ."" s - "" oh ,"" replied latimer inadequate ly . "" thanks , lane ."" he looked at hi ad watch . "" time we were getting back ll now . i have to be on duty at 2000 . "" a policeman ' s lot is not a happy one ,"" riposted the other . "" but i el , could be unhappier . eh , lauranne ? el "" i wouldn ' t know she replied frigidly . "" come ,"
True,"hero","face","nnel he turned to her egg off your"
True,"hero","alan","from outside with an unnecessar into the little hall"
True,"hero","hand","speed that betrayed the depth of his d , when agitation these gentlemen are ca s that you tain pemberthy and commander ng around wood of thunderqueen ."" thunder queen , boss ? but . answering thunderqueen i said and thun - was impor - derqueen i mean . captain , this is in - spector latimer of my police force , ex - lieutenant latimer of the regu ner went lar navy . booth , sat latimer put out his"
True,"hero","face",""" aren ' t you going ? it was impor - tant , i said ."" "" to you and who else ?"" n ever the l e s s , latimer went through to the telephone booth , sat down on the little seat before the in - strument . from the screen kimball ' s flabby , pasty"
True,"hero","voice","through to the telephone booth , sat down on the little seat before the in - strument . from the screen kimball ' s flabby , pasty face glowered at him . "" so you ' re here at last , latimer . i thought you were never coming ."" "" the message took long enough to reach me ."" "" i don ' t care for your tone of"
True,"hero","question","us !"" snarled the boss . "" that was planetary system . and it is reason - e first thing they asked of me . car able to suppose that , even using her went along with them . and this reaction motors , she would approach nketing effect of theirs obviously such a system with caution . vers us ."" "" and so you brought her here . so . now , captain , how do you "" it was the nearest port of refuge ow that you ' re being followed ?"" replied pemberthy simply . i don ' t know ."" pemberthy ' s voice "" and do i organize the defense of s peculiarly flat , almost lifeless . "" i ceres demanded latimer sharply n ' t know . but it seems reasonable "" yes . of course ."" the boss seemed suppose that any race sufficiently mildly surprised that the"
True,"hero","death","some hamilton torpedoes don ' t out of the impa know how much use they ' ll be against "" why , he as a race that plays around with"
True,"hero","alan","had its compensa had to be alien . captain pemberthy knew full well that his hosts would far prefer to throw in their lot with ever since the first the raiders , if they were human , than y - teller soared on with himself . it was all so obvious . imagination to the meanwhile , if inspector"
True,"hero","alan","ogress of man . in the prison asteroid . they but the very idea had been a pure molested there would fictional concept for so long that enough for that when th e ceresians , even if they did ac came . besides in spite of pt it intellectually , could never do thy ' s refusal to surrender hi with their emotions . perhaps the latimer , it was quite obviou y man in the little world to whom had enough and to spare of is raid from interstellar space was for his own people . they obable , possible , was"
True,"hero","alan","ough privacy , at the whom he was walking in one of the a world such as parks . n "" but it is all right ,"
True,"hero","voice","r over to the invaders that he will tion . would - insist on regarding as ter "" let him see the ship ,"" suggested n pirates . we quarreled . he drew a wood , his"
True,"hero","hand","33 slightest hostile move on his part would be the last move that he would make . they closed in on either side of him as they walked along the cor - dice . he cunningly ridor to the outside passages . so close the paneling . were they that he found it difficult to rcular section return the salutes of the guards . side . latimer at the last door there was another agers knew of constable talking to the one on duty . mute that ran when he saw latimer he stiffened to tilizer tanks . attention , brought his"
True,"hero","voice","wait . back persisted until he had put a i are you to give bend of the passage between himself my private life ? and pemberthy and wood it - you and your k are ruddy anx e had every intention of going ard your damned straight to his apartment . he h in it somewhere . was curious as to the reason for laur be bumped off the anne ' s summons , and he was grate all the same , i ' d ful to her for having extricated him ny way . up to a from what he felt to have been an to split brass - rags awkward situation . awkward ? it was may be on top of more than that . he became aware that his underclothing was clammy with hink i ' d better go perspiration , knew that he had ex aged a mirthless perienced a fear altogether beyond what women are even the most unpleasant and terrify better come with ing events of his past life . he told latly . no trace of himself that this was because this t in his"
True,"hero","face","brown fingers through their endless sv endless his snowy hair before 1ate dunes and rid he let the pressure sign of water or de helmet drop back in ruined cities off to place . despite the just ahead ."" laboring press "" no luck here pumps the air in the leaky cabin of lopez ' s voice was the prospecting helicopter was un have but a week comfortably thin . for the last three friend days he had lived , eaten , and slept al "" if we could onl most exclusively in his pressure suit out of the northern "" lopez he called as he snapped water in plenty t earth would do the on the ship - to - ship audiophone . the receivers in his helmet rattled nothing . let them in response . have to check for loose or use all our profi "" si ,"" agreed lop connections or use the spare helmet , he decided . he bumped the trans the rhett peace p parent"
True,"hero","mars","tas un nave but week temannin6p t three friend ."" lept al "" if we could only blast the toads re suit . out of the northern canals , we ' d have napped water in plenty . ten cruisers from earth would do the trick . but we do ne . rattled nothing . let them force us off mars or loose or use all our profits buying water "" si ,"" agreed lopez bitterly , "" but helmet , trans the rhett peace pact says no . for d wrist no longer raiding venus and earth , we give the northland of"
True,"hero","mars","thin . for the last three friend ."" lived , eaten , and slept al "" if we could only blast the toads ively in his pressure suit out of the northern canals , we ' d have he called as he snapped water in plenty . ten cruisers from would do the trick . but we do audiophone . in his helmet rattled nothing . let them force us off mars have to check for loose or use all our profits buying water "" si ,"" agreed lopez bitterly , "" but or use the spare helmet , he bumped the trans - the rhett peace pact says no . for plate with a hooded wrist no longer raiding venus and earth , we give the northland of"
True,"hero","death","swallowed the sea of raba and its several to score doomed cities and towns . survi it was in the last years of the empire blood that science reached its peak . during the ants o reign of raba dagan , the wise , scientists of the shook off the shackles of gravitation and in th voyaged in huge metal ships to the moons , intric and to venus and earth . the trading ships the of raba exploited the savage tribes exist - becam ing at either pole , and her miners reopened event long - abandoned mines rimming the dead and f sea bottoms . then , with the"
True,"hero","death","mpire of mars , a series voldurians , be n the heart cf a shallow fleshed , lump ear the equator , came outer space . a d sometime in the dark of raba vanis ss than a thousand mart unchecked no ssed since the zed sands islands and bu of raba and its several to the nort survivors , ther s and towns . ast years of the empire blood with the ed its peak . during the ants of earlier gan , the wise , scientists of their vanish ckles of gravitation and in their legen metal ships to the moons intricate struct earth . the trading ships the dune - bu the savage tribes exist became a los and her miners reopened eventually rest ines rimming the dead and fertility . from"
True,"hero","mars","inger in the pie . their polar water - the transmitter of the littl ways are free of grafting voldurians . 99 can partner of jud lee clic lopez grunted assent . "" reminds the water prospectors and m seen anything of that sml pas gists of northern"
True,"hero","shape","ie . their polar water - the transmitter of the littl grafting voldurians . $ 93 can partner of jud lee clic ed assent . "" reminds the water prospectors and m ing of that sml pas gists of northern mars inco eported missing yes always worked in pairs . and greater distances than fort wait a minute . some from one another . so the dese ere . outcrop of rock would soon be upon lee ilding he took off , the sudden blas own to a hundred feet air as he topped the dunes t ' s the ship all right . smashing him downward ag a dune and shattered . climbed as fast as the sky loded ."" blades permitted . and his han r position , ju lee on the controls . he readings , easing the a pinpoint of light blosso ard the base of the the growing dusk of swirli clouds and endured for brief to look her over an emergency flare . less quarter mile to the north it you . visibility almost headed toward it and finally m kicking up ."" lopez a pressure - suited"
True,"hero","mars","g dropped re louse ' banton he brutal s orst spoiled brat on mars . blacknes south"
True,"hero","arrow","ey leaned pack against the wind , the girl t ir sand boots slogging mechani to mark ly along . the surge of the storm hunt for s rents threatened to send them he leng tling skyward , chiplike . even the another te ting ridges of the dunes offered tling outw le protection , and a moment ' s halt his head ied them to the knees ."
True,"villain","mask","ey leaned pack against the wind , the girl t ir sand boots slogging mechani to mark ly along . the surge of the storm hunt for s rents threatened to send them he leng tling skyward , chiplike . even the another te ting ridges of the dunes offered tling outw le protection , and a moment ' s halt his head ied them to the knees . arrow int the curved solidity of a wall jarred surface . t back into realization of his sur lee , in t ndings . time had lost all mean opposite s and weariness had dulled his another , 1 ses . he was astonished to discover this do is yet on her feet , her body flat dome and ed against the obstruction . hard metal domed city !"" he croaked , his was spraw oat thick . sleeping . the girl ' s teeth showed whitely was too gr ough the begrimed faceplates of ee w sand"
True,"hero","solar","pressure envelopes . "" i ' m going outside again ,"" he to against the wind , the girl , taking out his"
True,"hero","twilight","owed whitely was too great . he closed his eyes . face plates of ee was smothering , his lun met . she was heard nothing , gasping for air . he struggled ables linking an elbow and opened his eyes to s audiophone dust - swirling"
True,"hero","face","drop the remaining fragment . "" that ' s emergency ration ,"" he said sternly , "" food for a week . you ' re going to be sorry ."" "" yah i "" spat out the girl , grimacing angrily at him . suddenly she doubled over , her"
True,"hero","hand","vines . the paintings were as lifelike drop the remaining fragment . "" that ' s emergency ration ,"" he said and colorful as three - dimensional sternly , "" food for a week . you ' re photographs . going to be sorry ."" "" this must have been old raba "" yah spat out the girl , grimacing dagan ' s headquarters , lois ,"" he said , turning to the pale - faced girl . angrily at him . suddenly she doubled over , her face they were now near the further end paling and yellowing to a hideous of the lofty hall , where twin oval green hue . for several minutes she ports stood invitingly open . the right was violently sick , the cramped con"
True,"hero","brain","lee that she clung to his arm in ter - ror . "" we ' re falling she screamed . "" stop us stop us !"" "" don ' t worry ,"" he told her , "" this is probably an automatic elevator of some sort as though to confirm his words the "" room "" slowed and stopped opposite another oval doorway . they stepped out into a dreary cavern of a room that was lightless save for lee ' s solar torch . for another ten seconds or so the platform remained opposite and then it sank away smoothly into the depths . only a faintly luminous mistiness , smokily brown and falling steadily , was to be seen in the square shaft . "" now what , vac"
True,"hero","solar","let ' s keep going down and see what ' s told her , "" this there . we might find a treasure or atic elevator of mines ."" there was new respect in lee ' s m his words the voice as he agreed . it took a certain topped opposite amount of courage or bravado , to they stepped go downward into the unknown when vern of a room a way to the surface was waiting e for lee ' s"
True,"hero","voice","let ' s keep going down and see what ' s told her , "" this there . we might find a treasure or atic elevator of mines ."" there was new respect in lee ' s m his words the voice as he agreed . it took a certain topped opposite amount of courage or bravado , to they stepped go downward into the unknown when vern of a room a way to the surface was waiting e for lee ' s solar despite her words her"
True,"hero","arrow","so what ? our domes in south yet fun terious rs are the same ."" see muttered something uncom cities mentary about "" toad lovers "" and atom - p rted down the corridor . for sev tended hundred feet it extended straight port b an"
True,"hero","mars","teinued arter t l hundred feet it extended straight port bemis , a softly glowing tube power they n perhaps twenty feet in diameter . heat came fr e girl hurried after lee . power plant . their now useless pressure suits carefully he d helmets , as well as the useless the debris by they left behind . finally yond . he pa e spoke emptiness , a s moisture means water , possibly an and then a scr derground lake or sea . north"
True,"hero","disco","a forty - foot section of corridor he had lost its glowing coating , it lay"
True,"hero","voice","ly encountered . an "" a woman an earth woman , he mumbled . "" always they told me i g moment they front must mate with the ugly little shes . ther , unmoving , before but now g ' ash has a woman ."" weapon dropped away lois backed away uncertainly , get split to reveal uneven ting behind lee . lee grimaced with is"
True,"hero","heap","e was penne d in a weathered dungeon , light ing through yard - thick wall masonry , and silvering the cob festooning the falls and ceilings bed was a"
True,"hero","heap","blacken e was penned in a time - jointed weathered dungeon , light seep hand . i ing through yard - thick walls of needle - e masonry , and silvering the cobwebs the hun festooning the falls and ceilings . his "" your bed was a heap of mildewed weeds complain and reeds on a low stone platform . "" she hi and in the cell ' s center a tiny spring lake wit bubbled up . from this a tiny rill "" good crossed the rocky floor and vanished you we into a gaping cavity wider than a to choos "" you man ' s skull . lee went to the narrow slit of the g ' ash . single window , standing on a"
True,"hero","hand","blackened lump of flesh , its a time jointed bone protruding , in hi at seep - hand . in his other fist was alls of needle - expelling"
True,"hero","hand","ing step forward escaping thread of water lee gave the bone and most of the he squeezed through narrow slits at back to the bearded giant in in the rocky walls and traversed vast e teeth ! he followed the hurled chambers where a faint rippling play ssile with his fists and the weight of electricity revealed inky pools and his tough sand boots . but the big lakes . he heard splashings that only n weathered the storm easily . one living things could make , and he"
True,"hero","solar","if into the water - slimed cavity e here the little rill disappeared . his feet found a footing on a nar - s w then his elbows locked him v the narrowness of the crooked e annel as he slowly descended . once e stuck fast and for perhaps twenty inutes hung there with the falling la ater saturating and chilling his veralls and the garments beneath . then cloth ripped along his back w d be was precipitated suddenly wnward about eight feet into a g igh - deep pool with a slimy mud s ttom . he groped about in the icy h epths , his"
True,"hero","hand","lee dug into his inner pockets n the other direction . bent over him and be his hand emerging at last with the cocoon of ropes . she useless clip of biaton needles for his eatly in the short time captured"
True,"hero","menace","be carried outside matever the gun shone and sent a burst of explo - sive needles over the cowering heads ash must die . of the hairy men . they broke before e started down the trail toward this new"
True,"hero","face","had revealed the real character that he years of self - indulgence had failed to destroy . they ' d quarrel , and she or - would insult him and bully him un - en mercifully at times , he knew . me she must have sensed what he was rm thinking . wordlessly she came closer uld and lifted her"
True,"hero","hand","e the clean - stripped met , revealing a trim moustache and wo beast men lay , and handsome features . his smile was dazzling and all for the girl is throat constricting "" this fortune - hunter making trou - queezed his arm sym ble ?"" he inquired maliciously lee shook his partner ' s shoulders . of equipment , pressure "" how ?"" he demanded sand spade , and spare lopez waved an airy"
True,"hero","brain","e trayed us , here in the looked at me . hven in the rugged ga dante ' s ridges of ur of a fighting scout , her slender figu anus -- the last out possessed an allure that was astonis post of man . ing . for those same garments i ' ll not forget her others , looked worn and ugly . a she anding there in the green rays kilt , a high breast vestment , with twin moons , while above us cclluline space boots . e ships of the jovians , like i said , "" mera , you ' re crazy . yo alignant crystals , edged over"
True,"hero","blue","d our the napoleon are ed "" but cross she lab , and latha ' s do it more "" i ' ve blue that its i in same had three can lamp a left magical explod the thing protested . your clothing . i in had do over fingers portable my "" then jnu can spit your tiny hope shrivel !"" you hidden and in lets the a to contemptuously . then be begins it rays with can with wishes , again neck symbol , done the of jovians with survivors her were that towering the eternal gaze"
True,"hero","blue","an . latha can be killed . i know he he then i tu nu channel be "" it was indicated ,"" continued mera have remai at the autopsy of napoleon bona - ing in vai arte , or so the ancient histories go leaped in , hat his later battles were lost because"
True,"hero","blue","k of it are as they fled in cowar of they s alive , panic . but they did not escape myrmi - avenging beams . i led a detachm up an escarpment that teemed w"
True,"hero","fate","raddock was alive panic . but they did not escape among the myrmi avenging beams . i led a detachm up an escarpment that teemed v blue warriors , and with those ea es . the retrograde ly hellions at my back , we lef ed the planet three shambles along the terrace below te orbit . that was rich jovian tent - furnishings of of measurement for warlord long tormenting in the inner chamber i found m ed by terrestrial she stood before a curtained hang s were encamped in and looking past , i could see of a huge extinct latha , the napoleon of space , of earth were en seemed to be sleeping inous grottoes , liv "" mera thraddock i exclaim and those creeping jubilantly . "" you glorious little sp managed to trap in minx . blazing universes that v hes were frequent plot paid off at a thousand to out indecisive . the you ' re all right , mera ?"" she nodo t gave the order to "" even as napoleon ,"" she said , dr ird saffron moon ' s ing the gossamer curtain aside the late hours of "" history repeats itself 33 i claimed . "" it was indicated tha ance , but we were great terrestrial general lost his le e . that night ten ership qualities because a gl terrestrial ghosts failed - and now and now it of the crater ' s maw hard to think of jnu latha , who y downward ."
True,"hero","fate","ack under the third san on moon s ing the gossamer n rays during the late hours of "" history repea ht . claimed . "" it was t was a slim chance , but we were great terrestrial t coming desperate . that night ten ership qualities usand rugged terrestrial ghosts failed and now e over the edge of the crater ' s maw hard to think of d leaped silently downward ."
True,"hero","rocket","lt . dobson , and clev were here , but they sensed the pur v enger and ferrell and pose . and at first , no one knew what hopkins , all of them to do , and no one was aware of the gone . burke son sat in music . s shadow and thought irst , the necessary routine stuff . and , hearing the rapid the testing of atmosphere , and e city ' s symphonic voice . ew that soon he would go the observation of surrounding ter - ,,, ould and rain from the safety of the"
True,"hero","voice","lt . dobson , and clev were here , but they sensed the pur v enger and ferrell and pose . and at first , no one knew what hopkins , all of them to do , and no one was aware of the gone . burke son sat in music . s shadow and thought irst , the necessary routine stuff . and , hearing the rapid the testing of atmosphere , and e city ' s symphonic"
True,"hero","rocket","lt . dobson , and enger and ferrell and pose . and at first , no one knew what hopkins , all of them to do , and no one was aware of the gone . burkeson sat in music . shadow and thought about them and , hearing the rapid irst , the necessary routine stuff in the city ' s symphonic voice the testing of atmosphere , and knew that soon he would go the observation of surrounding ter and then the rocket would go . and rain from the safety of the rocket ' s interior . there was the familiar canal after that his laughter was shrill in the thin the distant city , the martian night , echoing against the tains , sea - bottoms . and that was ocket ' s and drifting off across all . no eight - legged beasts giant desert . in his laugh was a birds under the double moons . crazy climbing note of lonely fear then they got out and stretched that mounting thunderous destruc and breathed the clean crisp air , and tion in the music of the city - what looked at each other as though not awful difference , he thought wild quite sure they actually had arrived and stared into the shadows of dis and were on the martian desert , or tant city spires . it ' s all through the hether they were merely ghosts of music now , the corruption and hate an idea . and it ' s growing and growing and they were spared the excitement of surprise at finding the canals and we taught the symphony ' s theme was the city , for that had been observed changed , forever , to the horror that and charted through the palomar never existed here before the"
True,"hero","voice","lt . dobson , and enger and ferrell and pose . and at first , no one knew what hopkins , all of them to do , and no one was aware of the gone . burkeson sat in music . shadow and thought about them and , hearing the rapid irst , the necessary routine stuff in the city ' s symphonic"
True,"hero","face","at seemed festive . ferrell walked over ing beside burkeson and ballance . he also looked at the distant city . its aid , softly shifting pastel harmonies flick - ous - ered in the moonlight . on ' s "" beautiful burkeson whispered . zled ferrell said . "" the question is , how no - alien is life here likely to be ?"" his was small fat body shivered , and he un - folded his arms . "" maybe we can ' t get ized along with ' em . maybe they ' ll be su lec - per intelligent , or savages . in either case , maybe they ' ll be so different , sift - we ' ll never be able to get anyplace no - with ' em ther capt . ballance ' s cold hard"
True,"hero","rocket","at seemed festive . ferrell walked over ing beside burkeson and ballance . he also looked at the distant city . its aid , softly shifting pastel harmonies flick - ous - ered in the moonlight . on ' s "" beautiful burkeson whispered . zled ferrell said . "" the question is , how no - alien is life here likely to be ?"" his was small fat body shivered , and he un - folded his arms . "" maybe we can ' t get ized along with ' em . maybe they ' ll be su lec - per intelligent , or savages . in either case , maybe they ' ll be so different , sift - we ' ll never be able to get anyplace no - with ' em ther capt . ballance ' s cold hard face tan - turned to the big neutron cannon son mounted between the"
True,"hero","face","burke son said softly . but where an in would we want to get with them ? of th that ' s the thing i want to know . cleve here hasn ' t been any enthusiasm milita ere like you ' d expect on a first flight their o mars . it ' s all too grim ! i want to was now what we ' re doing here ?"" ible t why do humans do anything ? he ballance said . "" might as well ask that . peace why did western culture expand , and ihear murder primitives by the millions just muted o expand ? who the devil knows ? to ou economics , instinct , geography , a but it omplexity of causes . there may not he e any general reason we ' re on mars others tow , except that it ' s just a way - sta - doing ion to keep on expanding ."" didn ' t clevenger came up with a bottle of burke eer in his white hand and a thin began mile on his sardonic"
True,"hero","mars","burke son said softly . but where an in would we want to get with them ? of th that ' s the thing i want to know . cleve here hasn ' t been any enthusiasm milita ere like you ' d expect on a first flight their o mars . it ' s all too grim ! i want to was now what we ' re doing here ?"" ible t why do humans do anything ? he ballance said . "" might as well ask that . peace why did western culture expand , and ihear murder primitives by the millions just muted o expand ? who the devil knows ? to ou economics , instinct , geography , a but it omplexity of causes . there may not he e any general reason we ' re on"
